"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LCP5E3EI","journalArticle","2015","Stuyver, T.; Fias, S.; De Proft, F.; Fowler, P. W.; Geerlings, P.","Conduction of molecular electronic devices: Qualitative insights through atom-atom polarizabilities","The Journal of Chemical Physics","","0021-9606, 1089-7690","10.1063/1.4913415","https://pubs.aip.org/jcp/article/142/9/094103/940056/Conduction-of-molecular-electronic-devices","The atom-atom polarizability and the transmission probability at the Fermi level, as obtained through the source-and-sink-potential method for every possible configuration of contacts simultaneously, are compared for polycyclic aromatic compounds. This comparison leads to the conjecture that a positive atom-atom polarizability is a necessary condition for transmission to take place in alternant hydrocarbons without non-bonding orbitals and that the relative transmission probability for different configurations of the contacts can be predicted by analyzing the corresponding atom-atom polarizability. A theoretical link between the two considered properties is derived, leading to a mathematical explanation for the observed trends for transmission based on the atom-atom polarizability.","2015-03-07","2025-04-14 18:35:57","2025-04-14 18:35:57","2025-04-14 18:35:57","094103","","9","142","","","Conduction of molecular electronic devices","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZD9A9NR9","journalArticle","1981","Brusca, GaryJ.","On the Anatomy of Cystisoma (Amphipoda: Hyperiidea)","Journal of Crustacean Biology","","0278-0372, 1937-240X","10.2307/1547968","https://academic.oup.com/jcb/article-lookup/doi/10.2307/1547968","","1981-07-01","2025-04-14 18:35:58","2025-04-14 18:35:58","2025-04-14 18:35:58","358-375","","3","1","","","On the Anatomy of Cystisoma (Amphipoda","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXS6KDVK","journalArticle","2009","Best, Stephen; Marcus, Sharon","Surface Reading: An Introduction","Representations","","0734-6018, 1533-855X","10.1525/rep.2009.108.1.1","https://online.ucpress.edu/representations/article/108/1/1/81584/Surface-Reading-An-Introduction","In the text-based disciplines, psychoanalysis and Marxism have had a major influence on how we read, and this has been expressed most consistently in the practice of symptomatic reading, a mode of interpretation that assumes that a text's truest meaning lies in what it does not say, describes textual surfaces as superfluous, and seeks to unmask hidden meanings. For symptomatic readers, texts possess meanings that are veiled, latent, all but absent if it were not for their irrepressible and recurring symptoms. Noting the recent trend away from ideological demystification, this essay proposes various modes of ""surface reading"" that together strive to accurately depict the truth to which a text bears witness. Surface reading broadens the scope of critique to include the kinds of interpretive activity that seek to understand the complexity of literary surfaces---surfaces that have been rendered invisible by symptomatic reading.","2009-11-01","2025-04-14 18:35:59","2025-04-14 18:35:59","2025-04-14 18:35:59","1-21","","1","108","","","Surface Reading","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98KHHM5Y","journalArticle","2016","Magnan, François; Gabidullin, Bulat; Brusso, Jaclyn L.","Applying thieno[3,2-b]thiophene as a building block in the design of rigid extended thienoacenes","RSC Advances","","2046-2069","10.1039/C6RA18897D","https://xlink.rsc.org/?DOI=C6RA18897D","The synthesis of rigid extended star-shaped thienoacenes that incorporate thieno[3,2-               b               ]thiophene as a structural unit, either as the “core” or “arm” moiety, is described herein.                        ,                             The synthesis of rigid extended star-shaped thienoacenes that incorporate thieno[3,2-               b               ]thiophene as a structural unit, either as the “core” or “arm” moiety, is described herein. Four-fold Negishi coupling of a tetrabrominated core with thienyl- or thienothienyl zincates, followed by oxidative cyclodehydrogenation, affords tetra(5-hexyl)thieno([3,2-               b               ]thieno)anthracene, tetra(5-hexylthieno[3,2-               b               ]thieno)acridine, tetra(5-hexylthieno)benzothieno[3,2-               b               ]benzothiophene and tetra(5-hexylthieno[3,2-               b               ]thieno)benzothieno[3,2-               b               ]benzothiophene. Comparative electrochemical, optical, computational and single crystal X-ray diffraction studies were carried out on this family of star-shaped thieno[3,2-               b               ]thiophene based molecules to demonstrate, and confirm, the conservation of rigidity upon extending the conjugation, as well as to investigate the influence of the substitution pattern and heteroatom incorporation on the optoelectronic and solid state properties.","2016","2025-04-14 18:35:59","2025-04-14 18:35:59","2025-04-14 18:35:59","97420-97429","","99","6","","RSC Adv.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2PLUMYV","journalArticle","2008","Philo, Greg","ACTIVE AUDIENCES AND THE CONSTRUCTION OF PUBLIC KNOWLEDGE","Journalism Studies","","1461-670X, 1469-9699","10.1080/14616700802114217","http://www.tandfonline.com/doi/abs/10.1080/14616700802114217","","2008-08","2025-04-14 18:36:00","2025-04-14 18:36:00","2025-04-14 18:36:00","535-544","","4","9","","Journalism Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBZN923X","journalArticle","1999","Pajukanta, Päivi; Terwilliger, Joseph D.; Perola, Markus; Hiekkalinna, Tero; Nuotio, Ilpo; Ellonen, Pekka; Parkkonen, Maija; Hartiala, Jaana; Ylitalo, Kati; Pihlajamäki, Jussi; Porkka, Kimmo; Laakso, Markku; Viikari, Jorma; Ehnholm, Christian; Taskinen, Marja-Riitta; Peltonen, Leena","Genomewide Scan for Familial Combined Hyperlipidemia Genes in Finnish Families, Suggesting Multiple Susceptibility Loci Influencing Triglyceride, Cholesterol, and Apolipoprotein B Levels","The American Journal of Human Genetics","","00029297","10.1086/302365","https://linkinghub.elsevier.com/retrieve/pii/S0002929707622939","","1999-05","2025-04-14 18:36:00","2025-04-14 18:36:00","2025-04-14 18:36:00","1453-1463","","5","64","","The American Journal of Human Genetics","","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\Y6G7FRDS\Pajukanta et al. - 1999 - Genomewide Scan for Familial Combined Hyperlipidemia Genes in Finnish Families, Suggesting Multiple.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FY2YZMDE","journalArticle","2016","He, Zhenghua; Sha, Yuhui; Fu, Quan; Lei, Fan; Zhang, Fang; Zuo, Liang","Secondary recrystallization and magnetostriction in binary Fe81Ga19 thin sheets","Journal of Applied Physics","","0021-8979, 1089-7550","10.1063/1.4944881","https://pubs.aip.org/jap/article/119/12/123904/390339/Secondary-recrystallization-and-magnetostriction","Strong Goss texture ({110}〈001〉) was successfully developed by secondary recrystallization in Fe81Ga19 sheets without conventional application of inhibitor or surface energy effect as grain-oriented silicon steel. Goss grains cover 90% surface area of annealed sheet, and the magnetostriction coefficient reaches up to 262 ppm. The primary recrystallization microstructure and texture provide the prerequisites for nucleation and abnormal grain growth of secondary Goss grains. The dispersedly distributed Goss grains do not exhibit an evident advantage in grain size and number, and the normal grain growth of matrix grains can be inhibited by low-angle grain boundaries before onset of secondary recrystallization. The existence of low-angle grain boundaries is proposed to be an important factor for the occurrence of secondary recrystallization in binary Fe-Ga sheets based on grain boundary character distribution analysis.","2016-03-28","2025-04-14 18:36:02","2025-04-14 18:36:02","2025-04-14 18:36:02","123904","","12","119","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STIXGEHW","journalArticle","2008","Grundy, Scott M.","Promise of Low-Density Lipoprotein–Lowering Therapy for Primary and Secondary Prevention","Circulation","","0009-7322, 1524-4539","10.1161/CIRCULATIONAHA.107.720300","https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.107.720300","","2008-01-29","2025-04-14 18:36:03","2025-04-14 18:36:03","2025-04-14 18:36:03","569-573","","4","117","","Circulation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\KM9KDK4N\Grundy - 2008 - Promise of Low-Density Lipoprotein–Lowering Therapy for Primary and Secondary Prevention.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PE9HZXUX","journalArticle","1997","Cui, S.; Hacker, Donna K.; Pattanayak, J.; Xin, Q.-S.; Hinton, R. A.; Zhu, X.-Y.","Photodissociation Dynamics of Trimethylgallium on GaAs","The Journal of Physical Chemistry B","","1520-6106, 1520-5207","10.1021/jp971945e","https://pubs.acs.org/doi/10.1021/jp971945e","","1997-11-01","2025-04-14 18:36:04","2025-04-14 18:36:04","2025-04-14 18:36:04","9844-9844","","47","101","","J. Phys. Chem. B","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3C3Z7ID","journalArticle","2009","Ristow, Michael; Zarse, Kim; Oberbach, Andreas; Klöting, Nora; Birringer, Marc; Kiehntopf, Michael; Stumvoll, Michael; Kahn, C. Ronald; Blüher, Matthias","Antioxidants prevent health-promoting effects of physical exercise in humans","Proceedings of the National Academy of Sciences","","0027-8424, 1091-6490","10.1073/pnas.0903485106","https://pnas.org/doi/full/10.1073/pnas.0903485106","Exercise promotes longevity and ameliorates type 2 diabetes mellitus and insulin resistance. However, exercise also increases mitochondrial formation of presumably harmful reactive oxygen species (ROS). Antioxidants are widely used as supplements but whether they affect the health-promoting effects of exercise is unknown. We evaluated the effects of a combination of vitamin C (1000 mg/day) and vitamin E (400 IU/day) on insulin sensitivity as measured by glucose infusion rates (GIR) during a hyperinsulinemic, euglycemic clamp in previously untrained (               n               = 19) and pretrained (               n               = 20) healthy young men. Before and after a 4 week intervention of physical exercise, GIR was determined, and muscle biopsies for gene expression analyses as well as plasma samples were obtained to compare changes over baseline and potential influences of vitamins on exercise effects. Exercise increased parameters of insulin sensitivity (GIR and plasma adiponectin) only in the absence of antioxidants in both previously untrained (               P               < 0.001) and pretrained (               P               < 0.001) individuals. This was paralleled by increased expression of ROS-sensitive transcriptional regulators of insulin sensitivity and ROS defense capacity, peroxisome-proliferator-activated receptor gamma (PPARγ), and PPARγ coactivators PGC1α and PGC1β only in the absence of antioxidants (               P               < 0.001 for all). Molecular mediators of endogenous ROS defense (superoxide dismutases 1 and 2; glutathione peroxidase) were also induced by exercise, and this effect too was blocked by antioxidant supplementation. Consistent with the concept of mitohormesis, exercise-induced oxidative stress ameliorates insulin resistance and causes an adaptive response promoting endogenous antioxidant defense capacity. Supplementation with antioxidants may preclude these health-promoting effects of exercise in humans.","2009-05-26","2025-04-14 18:36:05","2025-04-14 18:36:05","2025-04-14 18:36:05","8665-8670","","21","106","","Proc. Natl. Acad. Sci. U.S.A.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\BDU6E833\Ristow et al. - 2009 - Antioxidants prevent health-promoting effects of physical exercise in humans.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24QHBI5H","journalArticle","2002","Michael A. Hanson,; Oost, Thorsten K.; Sukonpan, Chanokporn; Rich, Daniel H.; Stevens, Raymond C.","Structural Basis for BABIM Inhibition of Botulinum Neurotoxin Type B Protease [ <i>J. Am. Chem. Soc.</i> <b>2000</b> , <i>122</i> , 11268−11269].","Journal of the American Chemical Society","","0002-7863, 1520-5126","10.1021/ja025109g","https://pubs.acs.org/doi/10.1021/ja025109g","","2002-08-01","2025-04-14 18:36:06","2025-04-14 18:36:06","2025-04-14 18:36:06","10248-10248","","34","124","","J. Am. Chem. Soc.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KK8VJQ35","journalArticle","2017","Büntgen, Ulf; Krusic, Paul J.; Verstege, Anne; Sangüesa-Barreda, Gabriel; Wagner, Sebastian; Camarero, J. Julio; Ljungqvist, Fredrik Charpentier; Zorita, Eduardo; Oppenheimer, Clive; Konter, Oliver; Tegel, Willy; Gärtner, Holger; Cherubini, Paolo; Reinig, Frederick; Esper, Jan","New Tree-Ring Evidence from the Pyrenees Reveals Western Mediterranean Climate Variability since Medieval Times","Journal of Climate","","0894-8755, 1520-0442","10.1175/JCLI-D-16-0526.1","https://journals.ametsoc.org/doi/10.1175/JCLI-D-16-0526.1","Paleoclimatic evidence is necessary to place the current warming and drying of the western Mediterranean basin in a long-term perspective of natural climate variability. Annually resolved and absolutely dated temperature proxies south of the European Alps that extend back into medieval times are, however, mainly limited to measurements of maximum latewood density (MXD) from high-elevation conifers. Here, the authors present the world’s best replicated MXD site chronology of 414 living and relict Pinus uncinata trees found >2200 m above mean sea level (MSL) in the Spanish central Pyrenees. This composite record correlates significantly ( p ≤ 0.01) with May–June and August–September mean temperatures over most of the Iberian Peninsula and northern Africa ( r = 0.72; 1950–2014). Spanning the period 1186–2014 of the Common Era (CE), the new reconstruction reveals overall warmer conditions around 1200 and 1400, and again after around 1850. The coldest reconstructed summer in 1258 (−4.4°C compared to 1961–90) followed the largest known volcanic eruption of the CE. The twentieth century is characterized by pronounced summer cooling in the 1970s, subsequently rising temperatures until 2003, and a slowdown of warming afterward. Little agreement is found with climate model simulations that consistently overestimate recent summer warming and underestimate preindustrial temperature changes. Interannual–multidecadal covariability with regional hydroclimate includes summer pluvials after large volcanic eruptions. This study demonstrates the relevance of updating MXD-based temperature reconstructions, not only back in time but also toward the present, and emphasizes the importance of comparing temperature and hydroclimatic proxies, as well as model simulations for understanding regional climate dynamics.","2017-07","2025-04-14 18:36:07","2025-04-14 18:36:07","2025-04-14 18:36:07","5295-5318","","14","30","","J. Climate","","","","","","","","en","http://www.ametsoc.org/PUBSReuseLicenses","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\52EXQAXJ\Büntgen et al. - 2017 - New Tree-Ring Evidence from the Pyrenees Reveals Western Mediterranean Climate Variability since Med.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDDH2BCK","journalArticle","2016","Perry, Rachel J.; Peng, Liang; Barry, Natasha A.; Cline, Gary W.; Zhang, Dongyan; Cardone, Rebecca L.; Petersen, Kitt Falk; Kibbey, Richard G.; Goodman, Andrew L.; Shulman, Gerald I.","Acetate mediates a microbiome–brain–β-cell axis to promote metabolic syndrome","Nature","","0028-0836, 1476-4687","10.1038/nature18309","https://www.nature.com/articles/nature18309","","2016-06-09","2025-04-14 18:36:13","2025-04-14 18:36:13","2025-04-14 18:36:13","213-217","","7606","534","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\egarlock.UOTTAWA\Zotero\storage\ZQP6NNYN\Perry et al. - 2016 - Acetate mediates a microbiome–brain–β-cell axis to promote metabolic syndrome.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XV883WI6","journalArticle","2014","Spiteller, Gerhard; Afzal, Mohammad","The Action of Peroxyl Radicals, Powerful Deleterious Reagents, Explains Why Neither Cholesterol Nor Saturated Fatty Acids Cause Atherogenesis and Age‐Related Diseases","Chemistry – A European Journal","","0947-6539, 1521-3765","10.1002/chem.201404383","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.201404383","Abstract                            Cells respond to alterations in their membrane structure by activating hydrolytic enzymes. Thus, polyunsaturated fatty acids (PUFAs) are liberated. Free PUFAs react with molecular oxygen to give lipid hydroperoxide molecules (LOOHs). In case of severe cell injury, this physiological reaction switches to the generation of lipid peroxide radicals (LOO               .               ). These radicals can attack nearly all biomolecules such as lipids, carbohydrates, proteins, nucleic acids and enzymes, impairing their biological functions. Identical cell responses are triggered by manipulation of food, for example, heating/grilling and particularly homogenization, representing cell injury. Cholesterol as well as diets rich in saturated fat have been postulated to accelerate the risk of atherosclerosis while food rich in unsaturated fatty acids has been claimed to lower this risk. However, the fact is that LOO               .               radicals generated from PUFAs can oxidize cholesterol to toxic cholesterol oxides, simulating a reduction in cholesterol level. In this review it is shown how active LOO               .               radicals interact with biomolecules at a speed transcending usual molecule–molecule reactions by several orders of magnitude. Here, it is explained how functional groups are fundamentally transformed by an attack of LOO               .               with an obliteration of essential biomolecules leading to pathological conditions. A serious reconsideration of the health and diet guidelines is required.","2014-11-10","2025-04-14 18:36:14","2025-04-14 18:36:14","2025-04-14 18:36:14","14928-14945","","46","20","","Chemistry A European J","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
